시도명,시군구명,관리구역명,관리구역대상지역명,배출장소유형,배출장소,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,생활쓰레기배출요일,음식물쓰레기배출요일,재활용품배출요일,생활쓰레기배출시작시각,생활쓰레기배출종료시각,음식물쓰레기배출시작시각,음식물쓰레기배출종료시각,재활용품배출시작시각,재활용품배출종료시각,일시적다량폐기물배출시작시각,일시적다량폐기물배출종료시각,미수거일,관리부서명,관리부서전화번호,데이터기준일자,제공기관코드,제공기관명
경기도,의왕시,5개권역,고천동+오전동+부곡동+내손1동+내손2동+청계동,문전수거,"지구촌어린이집, 만주빌딩, 홍명상가",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄인 음식물만 전용봉투에 담아 배출,투명한 비닐 혹은 마대에 담거나 끈으로 묶어서 지정된 요일에 배출,"청소위생과에 연락 후 배출시간, 방법 안내",5톤 미만은 생활폐기물 배출로 방문수거함.,월+수+금,월+수+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,공휴일+명절,청소위생과,031-345-2842,2019-09-01,4030000,경기도 의왕시
경기도,의왕시,5개권역,고천동+오전동+부곡동+내손1동+내손2동+청계동,문전수거,"신광연립, 메트로빌라 101동, 한광샤인빌리지",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄인 음식물만 전용봉투에 담아 배출,투명한 비닐 혹은 마대에 담거나 끈으로 묶어서 지정된 요일에 배출,"청소위생과에 연락 후 배출시간, 방법 안내",5톤 미만은 생활폐기물 배출로 방문수거함.,월+수+금,월+수+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,공휴일+명절,청소위생과,031-345-2842,2019-09-01,4030000,경기도 의왕시
경기도,의왕시,5개권역,고천동+오전동+부곡동+내손1동+내손2동+청계동,문전수거,"의왕경찰서, 왕곡동 146, 대안사 사무실",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄인 음식물만 전용봉투에 담아 배출,투명한 비닐 혹은 마대에 담거나 끈으로 묶어서 지정된 요일에 배출,"청소위생과에 연락 후 배출시간, 방법 안내",5톤 미만은 생활폐기물 배출로 방문수거함.,월+수+금,월+수+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,공휴일+명절,청소위생과,031-345-2842,2019-09-01,4030000,경기도 의왕시
경기도,의왕시,5개권역,고천동+오전동+부곡동+내손1동+내손2동+청계동,문전수거,"건강누리의왕시립노인요양원,",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄인 음식물만 전용봉투에 담아 배출,투명한 비닐 혹은 마대에 담거나 끈으로 묶어서 지정된 요일에 배출,"청소위생과에 연락 후 배출시간, 방법 안내",5톤 미만은 생활폐기물 배출로 방문수거함.,월+수+금,월+수+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,공휴일+명절,청소위생과,031-345-2842,2019-09-01,4030000,경기도 의왕시
경기도,의왕시,5개권역,고천동+오전동+부곡동+내손1동+내손2동+청계동,문전수거,"왕곡동447-1, 고천동 주민센터, 왕곡초등학교(행정실)",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄인 음식물만 전용봉투에 담아 배출,투명한 비닐 혹은 마대에 담거나 끈으로 묶어서 지정된 요일에 배출,"청소위생과에 연락 후 배출시간, 방법 안내",5톤 미만은 생활폐기물 배출로 방문수거함.,월+수+금,월+수+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,공휴일+명절,청소위생과,031-345-2842,2019-09-01,4030000,경기도 의왕시
경기도,의왕시,5개권역,고천동+오전동+부곡동+내손1동+내손2동+청계동,문전수거,"하늘빌라, 경일산업, 통미마을, 신양빌리지, 골사그네 경로당, 우미타운, 왕곡동 경로당, 아름채노인복지관, 진주빌라, 시청별관, 고천초등학교",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄인 음식물만 전용봉투에 담아 배출,투명한 비닐 혹은 마대에 담거나 끈으로 묶어서 지정된 요일에 배출,"청소위생과에 연락 후 배출시간, 방법 안내",5톤 미만은 생활폐기물 배출로 방문수거함.,월+수+금,월+수+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,공휴일+명절,청소위생과,031-345-2842,2019-09-01,4030000,경기도 의왕시
경기도,의왕시,5개권역,고천동+오전동+부곡동+내손1동+내손2동+청계동,문전수거,희망나래장애인보지관,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄인 음식물만 전용봉투에 담아 배출,투명한 비닐 혹은 마대에 담거나 끈으로 묶어서 지정된 요일에 배출,"청소위생과에 연락 후 배출시간, 방법 안내",5톤 미만은 생활폐기물 배출로 방문수거함.,월+수+금,월+수+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,공휴일+명절,청소위생과,031-345-2842,2019-09-01,4030000,경기도 의왕시
경기도,의왕시,5개권역,고천동+오전동+부곡동+내손1동+내손2동+청계동,문전수거,서울소년원(청사),규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄인 음식물만 전용봉투에 담아 배출,투명한 비닐 혹은 마대에 담거나 끈으로 묶어서 지정된 요일에 배출,"청소위생과에 연락 후 배출시간, 방법 안내",5톤 미만은 생활폐기물 배출로 방문수거함.,월+수+금,월+수+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,공휴일+명절,청소위생과,031-345-2842,2019-09-01,4030000,경기도 의왕시
경기도,의왕시,5개권역,고천동+오전동+부곡동+내손1동+내손2동+청계동,문전수거,서울소년원(관사),규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄인 음식물만 전용봉투에 담아 배출,투명한 비닐 혹은 마대에 담거나 끈으로 묶어서 지정된 요일에 배출,"청소위생과에 연락 후 배출시간, 방법 안내",5톤 미만은 생활폐기물 배출로 방문수거함.,월+수+금,월+수+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,공휴일+명절,청소위생과,031-345-2842,2019-09-01,4030000,경기도 의왕시
경기도,의왕시,5개권역,고천동+오전동+부곡동+내손1동+내손2동+청계동,문전수거,재활용분리수거대 위치 (거점수거),규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄인 음식물만 전용봉투에 담아 배출,투명한 비닐 혹은 마대에 담거나 끈으로 묶어서 지정된 요일에 배출,"청소위생과에 연락 후 배출시간, 방법 안내",5톤 미만은 생활폐기물 배출로 방문수거함.,월+수+금,월+수+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,공휴일+명절,청소위생과,031-345-2842,2019-09-01,4030000,경기도 의왕시
