"½Ãµµº°(1)",2010,2011,2012,2013,2014,2015,2016,2017,2018
"½Ãµµº°(1)",ÃÑ°è,ÃÑ°è,ÃÑ°è,ÃÑ°è,ÃÑ°è,ÃÑ°è,ÃÑ°è,ÃÑ°è,ÃÑ°è
"ÇÕ°è",40920.4,40941.7,41644.2,40542.7,42355.2,43411.2,45460.3,45008.9,46749.3
"¼­¿ï",8393.6,7943.3,8010.6,7567.7,8666.5,8657.4,8750.9,8431.5,8586.9
"ºÎ»ê",2638.6,2712.6,2698.1,2648.2,2855.3,2875.8,2847.1,2841.0,2795.8
"´ë±¸",2015.7,2044.4,2084.3,2158.9,2223.9,2297.9,2407.9,2396.4,2556.8
"ÀÎÃµ",1863.4,1852.0,1698.5,1608.8,1460.7,1602.5,1837.8,1838.3,1985.1
"±¤ÁÖ",1238.4,1154.3,1169.1,1195.6,1147.4,1126.5,1086.6,1071.4,1096.5
"´ëÀü",1295.5,1234.8,1322.5,1301.7,1257.2,1356.0,1406.7,1440.4,1396.0
"¿ï»ê",907.4,1001.4,1059.1,1032.1,1276.6,1306.7,1420.5,1333.5,1344.2
"¼¼Á¾",-,-,52.3,70.1,71.8,100.3,128.5,154.6,319.7
"°æ±â",8471.1,8706.8,8567.9,8141.5,8337.5,8908.1,9476.5,9229.8,9861.3
"°­¿ø",1848.1,1859.1,1843.3,1834.4,1848.9,1793.7,1858.9,1981.3,2007.6
"ÃæºÏ",1601.2,1561.1,1556.7,1579.0,1755.6,1541.3,1969.9,1857.7,1914.7
"Ãæ³²",1891.1,1881.1,1946.7,2066.8,2022.7,2092.2,1968.5,2107.3,2267.7
"ÀüºÏ",1458.0,1525.4,1558.0,1549.2,1617.0,1618.5,1599.5,1615.6,1895.1
"Àü³²",1512.1,1522.5,1798.9,1696.8,1678.8,1673.2,1742.1,1742.1,1743.2
"°æºÏ",2280.7,2269.5,2349.8,2389.2,2365.1,2360.7,2503.4,2561.7,2594.4
"°æ³²",2981.3,3041.8,3187.9,2846.5,2991.9,3186.5,3445.1,3380.2,3420.1
"Á¦ÁÖ",524.2,631.6,740.5,856.2,778.3,913.9,1010.4,1026.1,964.2
